area,Charactertpe,dist,ene_speed,hero_speed,ene_mode,ene_success
generate,hero,692.3413,3.0,2.09,wander,false
generate,hero,690.63617,3.0,2.1799998,wander,false
generate,hero,688.97186,3.0,2.2699997,wander,false
generate,hero,687.3477,3.0,2.3599997,wander,false
generate,hero,685.76337,3.0,2.4499996,wander,false
generate,hero,684.2183,3.0,2.5399995,wander,false
generate,hero,682.7122,3.0,2.6299994,wander,false
generate,hero,681.2447,3.0,2.7199993,wander,false
generate,hero,679.8158,3.0,2.8099992,wander,false
generate,hero,678.4251,3.0,2.8999991,wander,false
generate,hero,677.0727,3.0,2.989999,wander,false
generate,hero,675.75854,3.0,3.079999,wander,false
generate,hero,674.48267,3.0,3.169999,wander,false
generate,hero,673.2452,3.0,3.2599988,wander,false
generate,hero,672.0463,3.0,3.3499987,wander,false
generate,hero,670.88635,3.0,3.4399986,wander,false
generate,hero,669.7654,3.0,3.5299985,wander,false
generate,enemy,921.4443,3.06,3.5299985,wander,false
generate,enemy,915.8834,3.12,3.5299985,wander,false
righteye,hero,757.3121,3.12,3.5299985,suicide,false
righteye,hero,750.66205,3.12,3.5299985,suicide,false
righteye,hero,744.012,3.12,3.5299985,suicide,false
righteye,hero,737.362,3.12,3.5299985,suicide,false
righteye,hero,730.712,3.12,3.5299985,suicide,false
righteye,hero,724.06195,3.12,3.5299985,suicide,false
righteye,hero,717.4119,3.12,3.5299985,suicide,false
righteye,hero,710.7619,3.12,3.5299985,suicide,false
righteye,hero,704.1119,3.12,3.5299985,suicide,false
righteye,hero,697.46185,3.12,3.5299985,suicide,false
righteye,hero,690.8119,3.12,3.5299985,suicide,false
righteye,hero,684.16187,3.12,3.5299985,suicide,false
righteye,hero,677.51184,3.12,3.5299985,suicide,false
righteye,hero,670.8618,3.12,3.5299985,suicide,false
righteye,hero,664.2118,3.12,3.5299985,suicide,false
righteye,hero,657.56177,3.12,3.5299985,suicide,false
righteye,hero,650.91174,3.12,3.5299985,suicide,false
righteye,hero,644.2617,3.12,3.5299985,suicide,false
righteye,hero,637.61176,3.12,3.5299985,suicide,false
righteye,hero,630.96173,3.12,3.5299985,suicide,false
righteye,hero,624.3117,3.12,3.5299985,suicide,false
righteye,hero,617.6617,3.12,3.5299985,suicide,false
righteye,hero,611.01166,3.12,3.5299985,suicide,false
righteye,hero,604.3617,3.12,3.5299985,suicide,false
righteye,hero,597.7117,3.12,3.5299985,suicide,false
righteye,hero,591.06165,3.12,3.5299985,suicide,false
righteye,hero,584.4116,3.12,3.5299985,suicide,false
righteye,hero,577.76166,3.12,3.5299985,suicide,false
righteye,hero,571.1116,3.12,3.5299985,suicide,false
righteye,hero,564.46155,3.12,3.5299985,suicide,false
righteye,hero,557.8116,3.12,3.5299985,suicide,false
righteye,hero,551.16156,3.12,3.5299985,suicide,false
righteye,hero,544.51154,3.12,3.5299985,suicide,false
righteye,hero,537.8615,3.12,3.5299985,suicide,false
righteye,hero,531.2115,3.12,3.5299985,suicide,false
righteye,hero,524.56146,3.12,3.5299985,suicide,false
righteye,hero,517.91144,3.12,3.5299985,suicide,false
righteye,hero,511.26144,3.12,3.5299985,suicide,false
righteye,hero,504.61145,3.12,3.5299985,suicide,false
righteye,hero,497.96143,3.12,3.5299985,suicide,false
righteye,hero,491.3114,3.12,3.5299985,suicide,false
righteye,hero,484.66138,3.12,3.5299985,suicide,false
righteye,hero,478.01138,3.12,3.5299985,suicide,false
righteye,hero,471.3614,3.12,3.5299985,suicide,false
righteye,hero,464.71133,3.12,3.5299985,suicide,false
righteye,hero,458.0613,3.12,3.5299985,suicide,false
righteye,hero,451.41132,3.12,3.5299985,suicide,false
righteye,hero,444.76132,3.12,3.5299985,suicide,false
righteye,hero,438.1113,3.12,3.5299985,suicide,false
righteye,hero,431.46124,3.12,3.5299985,suicide,false
righteye,hero,424.81125,3.12,3.5299985,suicide,false
righteye,hero,418.16125,3.12,3.5299985,suicide,false
righteye,hero,411.51123,3.12,3.5299985,suicide,false
righteye,hero,404.8612,3.12,3.5299985,suicide,false
righteye,hero,398.21118,3.12,3.5299985,suicide,false
righteye,hero,391.5612,3.12,3.5299985,suicide,false
righteye,hero,384.91116,3.12,3.5299985,suicide,false
righteye,hero,378.26114,3.12,3.5299985,suicide,false
righteye,hero,371.6111,3.12,3.5299985,suicide,false
righteye,hero,364.9611,3.12,3.5299985,suicide,false
righteye,hero,358.31107,3.12,3.5299985,suicide,false
righteye,hero,351.661,3.12,3.5299985,suicide,false
righteye,hero,345.01102,3.12,3.5299985,suicide,false
righteye,hero,338.361,3.12,3.5299985,suicide,false
righteye,hero,331.711,3.12,3.5299985,suicide,false
righteye,hero,325.06097,3.12,3.5299985,suicide,false
righteye,hero,318.41098,3.12,3.5299985,suicide,false
righteye,hero,311.76096,3.12,3.5299985,suicide,false
righteye,hero,305.11093,3.12,3.5299985,suicide,false
righteye,hero,298.4609,3.12,3.5299985,suicide,false
righteye,hero,291.81088,3.12,3.5299985,suicide,false
righteye,hero,285.16086,3.12,3.5299985,suicide,false
righteye,hero,278.51083,3.12,3.5299985,suicide,false
righteye,hero,271.8608,3.12,3.5299985,suicide,false
righteye,hero,265.2108,3.12,3.5299985,suicide,false
righteye,hero,258.5608,3.12,3.5299985,suicide,false
righteye,hero,251.91077,3.12,3.5299985,suicide,false
righteye,hero,245.26074,3.12,3.5299985,suicide,false
righteye,hero,238.6107,3.12,3.5299985,suicide,false
righteye,hero,231.96071,3.12,3.5299985,suicide,false
righteye,hero,225.3107,3.12,3.5299985,suicide,false
righteye,hero,218.66068,3.12,3.5299985,suicide,false
righteye,hero,212.01065,3.12,3.5299985,suicide,false
righteye,hero,205.36063,3.12,3.5299985,suicide,false
righteye,hero,198.7106,3.12,3.5299985,suicide,false
righteye,hero,192.06058,3.12,3.5299985,suicide,false
righteye,hero,185.41057,3.12,3.5299985,suicide,false
righteye,hero,178.76056,3.12,3.5299985,suicide,false
righteye,hero,172.11053,3.12,3.5299985,suicide,false
righteye,hero,165.46051,3.12,3.5299985,suicide,false
righteye,hero,158.81049,3.12,3.5299985,suicide,false
righteye,hero,152.16046,3.12,3.5299985,suicide,false
righteye,hero,145.51045,3.12,3.5299985,suicide,false
righteye,hero,138.86044,3.12,3.5299985,suicide,false
righteye,hero,132.21042,3.12,3.5299985,suicide,false
righteye,hero,125.560394,3.12,3.5299985,suicide,false
righteye,hero,118.91037,3.12,3.5299985,suicide,false
righteye,hero,112.260345,3.12,3.5299985,suicide,false
righteye,hero,105.61034,3.12,3.5299985,suicide,false
righteye,hero,98.96031,3.12,3.5299985,suicide,false
righteye,hero,92.31031,3.12,3.5299985,suicide,false
righteye,hero,85.660286,3.12,3.5299985,suicide,false
righteye,hero,79.010254,3.12,3.5299985,suicide,false
righteye,hero,72.36025,3.12,3.5299985,suicide,false
righteye,hero,65.71023,3.12,3.5299985,suicide,false
righteye,hero,59.060196,3.12,3.5299985,suicide,false
righteye,hero,52.410194,3.12,3.5299985,suicide,false
righteye,hero,45.760166,3.12,3.5299985,suicide,false
righteye,hero,39.11014,3.12,3.5299985,suicide,false
righteye,hero,32.460114,3.12,3.5299985,suicide,false
righteye,hero,25.810112,3.12,3.5299985,suicide,false
righteye,hero,19.160086,3.12,3.5299985,suicide,false
righteye,hero,19.160086,3.12,3.5299985,suicide,true
generate,hero,898.8082,3.0,2.09,wander,false
generate,hero,897.9825,3.0,2.1799998,wander,false
generate,hero,897.2394,3.0,2.2699997,wander,false
generate,hero,896.5801,3.0,2.3599997,wander,false
generate,hero,896.00574,3.0,2.4499996,wander,false
generate,hero,895.5176,3.0,2.5399995,wander,false
generate,hero,895.11664,3.0,2.6299994,wander,false
generate,hero,894.80414,3.0,2.7199993,wander,false
generate,hero,894.5812,3.0,2.8099992,wander,false
generate,hero,894.44885,3.0,2.8999991,wander,false
generate,hero,894.40826,3.0,2.989999,wander,false
generate,hero,894.46045,3.0,3.079999,wander,false
generate,hero,894.6065,3.0,3.169999,wander,false
generate,hero,894.84753,3.0,3.2599988,wander,false
generate,hero,895.1846,3.0,3.3499987,wander,false
generate,hero,895.6185,3.0,3.4399986,wander,false
generate,hero,896.1505,3.0,3.5299985,wander,false
righteye,hero,502.80698,3.0,3.5299985,suicide,false
righteye,hero,496.27695,3.0,3.5299985,suicide,false
righteye,hero,489.74692,3.0,3.5299985,suicide,false
righteye,hero,483.2169,3.0,3.5299985,suicide,false
righteye,hero,476.68686,3.0,3.5299985,suicide,false
righteye,hero,470.15683,3.0,3.5299985,suicide,false
righteye,hero,463.62683,3.0,3.5299985,suicide,false
righteye,hero,457.09677,3.0,3.5299985,suicide,false
righteye,hero,450.56677,3.0,3.5299985,suicide,false
righteye,hero,444.03674,3.0,3.5299985,suicide,false
righteye,hero,437.5067,3.0,3.5299985,suicide,false
righteye,hero,430.97668,3.0,3.5299985,suicide,false
righteye,hero,424.4467,3.0,3.5299985,suicide,false
righteye,hero,417.91666,3.0,3.5299985,suicide,false
righteye,hero,411.38663,3.0,3.5299985,suicide,false
righteye,hero,404.8566,3.0,3.5299985,suicide,false
righteye,hero,398.32657,3.0,3.5299985,suicide,false
righteye,hero,391.79657,3.0,3.5299985,suicide,false
righteye,hero,385.26654,3.0,3.5299985,suicide,false
righteye,hero,378.7365,3.0,3.5299985,suicide,false
righteye,hero,372.20648,3.0,3.5299985,suicide,false
righteye,hero,365.67645,3.0,3.5299985,suicide,false
righteye,hero,359.14642,3.0,3.5299985,suicide,false
righteye,hero,352.6164,3.0,3.5299985,suicide,false
righteye,hero,346.08636,3.0,3.5299985,suicide,false
righteye,hero,339.55637,3.0,3.5299985,suicide,false
righteye,hero,333.02634,3.0,3.5299985,suicide,false
righteye,hero,326.4963,3.0,3.5299985,suicide,false
righteye,hero,319.96628,3.0,3.5299985,suicide,false
righteye,hero,313.43625,3.0,3.5299985,suicide,false
righteye,hero,306.90622,3.0,3.5299985,suicide,false
righteye,hero,300.3762,3.0,3.5299985,suicide,false
righteye,hero,293.8462,3.0,3.5299985,suicide,false
righteye,hero,287.31613,3.0,3.5299985,suicide,false
righteye,hero,280.7861,3.0,3.5299985,suicide,false
righteye,hero,274.2561,3.0,3.5299985,suicide,false
righteye,hero,267.72604,3.0,3.5299985,suicide,false
righteye,hero,261.19604,3.0,3.5299985,suicide,false
righteye,hero,254.66602,3.0,3.5299985,suicide,false
righteye,hero,248.136,3.0,3.5299985,suicide,false
righteye,hero,241.60596,3.0,3.5299985,suicide,false
righteye,hero,235.07594,3.0,3.5299985,suicide,false
righteye,hero,228.54591,3.0,3.5299985,suicide,false
righteye,hero,222.01588,3.0,3.5299985,suicide,false
righteye,hero,215.48587,3.0,3.5299985,suicide,false
righteye,hero,208.95584,3.0,3.5299985,suicide,false
righteye,hero,202.42581,3.0,3.5299985,suicide,false
righteye,hero,195.89578,3.0,3.5299985,suicide,false
righteye,hero,189.36577,3.0,3.5299985,suicide,false
righteye,hero,182.83574,3.0,3.5299985,suicide,false
righteye,hero,176.30571,3.0,3.5299985,suicide,false
righteye,hero,169.77568,3.0,3.5299985,suicide,false
righteye,hero,163.24565,3.0,3.5299985,suicide,false
righteye,hero,156.71564,3.0,3.5299985,suicide,false
righteye,hero,150.18561,3.0,3.5299985,suicide,false
righteye,hero,143.6556,3.0,3.5299985,suicide,false
righteye,hero,137.12556,3.0,3.5299985,suicide,false
righteye,hero,130.59554,3.0,3.5299985,suicide,false
righteye,hero,124.065506,3.0,3.5299985,suicide,false
righteye,hero,117.535484,3.0,3.5299985,suicide,false
righteye,hero,111.00546,3.0,3.5299985,suicide,false
righteye,hero,104.475426,3.0,3.5299985,suicide,false
righteye,hero,97.945404,3.0,3.5299985,suicide,false
righteye,hero,91.41538,3.0,3.5299985,suicide,false
righteye,hero,84.88535,3.0,3.5299985,suicide,false
