area,Charactertpe,dist,ene_speed,hero_speed,ene_mode,ene_success
lefteye,enemy,796.10486,2.3,2,wander,FALSE
terrain,enemy,189.84996,2.3,2,seek,FALSE
terrain,enemy,188.93451,2.3,2,seek,FALSE
terrain,enemy,188.0299,2.3,2,seek,FALSE
terrain,enemy,187.13608,2.3,2,seek,FALSE
terrain,enemy,186.25299,2.3,2,seek,FALSE
terrain,enemy,185.3804,2.3,2,seek,FALSE
terrain,enemy,184.5183,2.3,2,seek,FALSE
terrain,enemy,183.66647,2.3,2,seek,FALSE
terrain,enemy,182.82486,2.3,2,seek,FALSE
terrain,enemy,181.99336,2.3,2,seek,FALSE
terrain,enemy,181.17188,2.3,2,seek,FALSE
terrain,enemy,180.36023,2.3,2,seek,FALSE
terrain,enemy,179.5583,2.3,2,seek,FALSE
terrain,enemy,178.76611,2.3,2,seek,FALSE
terrain,enemy,177.9834,2.3,2,seek,FALSE
terrain,enemy,177.21002,2.3,2,seek,FALSE
terrain,enemy,176.446,2.3,2,seek,FALSE
terrain,enemy,175.69107,2.3,2,seek,FALSE
terrain,enemy,174.94524,2.3,2,seek,FALSE
terrain,enemy,174.20837,2.3,2,seek,FALSE
terrain,enemy,173.48022,2.3,2,seek,FALSE
terrain,enemy,172.7608,2.3,2,seek,FALSE
terrain,enemy,172.05,2.3,2,seek,FALSE
terrain,enemy,171.34755,2.3,2,seek,FALSE
terrain,enemy,170.65346,2.3,2,seek,FALSE
terrain,enemy,169.96751,2.3,2,seek,FALSE
terrain,enemy,169.2897,2.3,2,seek,FALSE
terrain,enemy,168.6198,2.3,2,seek,FALSE
terrain,enemy,167.95781,2.3,2,seek,FALSE
terrain,enemy,167.3035,2.3,2,seek,FALSE
terrain,enemy,166.65677,2.3,2,seek,FALSE
terrain,enemy,166.01752,2.3,2,seek,FALSE
terrain,enemy,165.38564,2.3,2,seek,FALSE
terrain,enemy,164.76103,2.3,2,seek,FALSE
terrain,enemy,164.14346,2.3,2,seek,FALSE
terrain,enemy,163.53299,2.3,2,seek,FALSE
terrain,enemy,162.9294,2.3,2,seek,FALSE
terrain,enemy,162.33255,2.3,2,seek,FALSE
terrain,enemy,161.7423,2.3,2,seek,FALSE
terrain,enemy,161.15863,2.3,2,seek,FALSE
terrain,enemy,160.58136,2.3,2,seek,FALSE
terrain,enemy,160.01042,2.3,2,seek,FALSE
terrain,enemy,159.44572,2.3,2,seek,FALSE
terrain,enemy,158.88708,2.3,2,seek,FALSE
terrain,enemy,158.3344,2.3,2,seek,FALSE
terrain,enemy,157.78764,2.3,2,seek,FALSE
terrain,enemy,157.2466,2.3,2,seek,FALSE
terrain,enemy,156.71123,2.3,2,seek,FALSE
terrain,enemy,156.18146,2.3,2,seek,FALSE
